"Component","Version","Latest version","Component type","License","License type","Vulnerability count","Object compilation date","Object","Object full path","Object SHA1","Distribution package","Missing exploit mitigations"
"cross-site-scripting","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:22:16Z","cross-site-scripting-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/cross-site-scripting-8.1.0.jar","5e54b31422cd57d8e603872f864b903a39728a36","",""
"crypto","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","crypto-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/crypto-8.1.0.jar","fa4d5eee016395cd2bfd89195297d0d608bb7ab0","",""
"csrf","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","csrf-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/csrf-8.1.0.jar","3cd13a10dda97144dae166cee7a99e7112aefba4","",""
"did_you_mean","1.0.1","1.6.1","ruby","MIT","permissive","0","2018-04-20T13:25:44Z","did_you_mean-1.0.1.gemspec","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar:META-INF/jruby.home/lib/ruby/gems/shared/specifications/default/did_you_mean-1.0.1.gemspec","19553ae4e0a5c9ce007f49a16c0523d63f9d9b9b","",""
"dirgra","0.3","0.4","java","EPL","permissive","0","2012-04-07T12:49:08Z","jruby-complete-9.1.17.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar","76716d529710fc03d1d429b43e3cedd4419f78d4","",""
"dom4j","2.1.1","2.1.3","java","BSD","permissive","1","2018-07-01T16:45:08Z","dom4j-2.1.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/dom4j-2.1.1.jar","3dce5dbb3571aa820c677fadd8349bfa8f00c199","",""
"fastinfoset","1.2.16","2.0.0","java","Apache","permissive","0","2018-12-27T14:32:26Z","FastInfoset-1.2.16.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/FastInfoset-1.2.16.jar","4eb6a0adad553bf759ffe86927df6f3b848c8bea","",""
"flyway-core","6.0.8","8.5.0","java","Apache","permissive","0","2019-10-30T14:36:22Z","flyway-core-6.0.8.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/flyway-core-6.0.8.jar","cdb49b2b552337f1c360be68482bb782b08835e4","",""
"haml","4.0.5","5.2.2","ruby","MIT","permissive","1","2018-10-30T17:07:56Z","haml-4.0.5.gemspec","webgoat-server-8.1.0.jar:BOOT-INF/lib/asciidoctorj-1.5.8.1.jar:specifications/haml-4.0.5.gemspec","178017cac81756750148d2e597bcdc1b93270975","",""
"hdrhistogram","2.1.11","6.3.2.1","java","Apache","permissive","0","2019-01-17T08:06:30Z","HdrHistogram-2.1.11.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/HdrHistogram-2.1.11.jar","1b035a1a4ce5d3441a4a1a331d04839ef487ec49","",""
